simtime:  11.933
number of wsf-lines:  1

line_No     y_coord
1	 1.5
2	  Wave Theory 


X 1	 P 1 	 	 	 	 W 1

0.05 	 2.0316 	  2.0249 	  
0.15 	 2.0391 	  2.0325 	  
0.25 	 2.0465 	  2.0402 	  
0.35 	 2.0538 	  2.0477 	  
0.45 	 2.0611 	  2.0552 	  
0.55 	 2.0683 	  2.0626 	  
0.65 	 2.0753 	  2.0699 	  
0.75 	 2.0823 	  2.0771 	  
0.85 	 2.0892 	  2.0842 	  
0.95 	 2.0959 	  2.0912 	  
1.05 	 2.1025 	  2.098 	  
1.15 	 2.109 	  2.1047 	  
1.25 	 2.1153 	  2.1112 	  
1.35 	 2.1214 	  2.1175 	  
1.45 	 2.1274 	  2.1237 	  
1.55 	 2.1332 	  2.1297 	  
1.65 	 2.1387 	  2.1355 	  
1.75 	 2.1441 	  2.1411 	  
1.85 	 2.1493 	  2.1465 	  
1.95 	 2.1542 	  2.1516 	  
2.05 	 2.159 	  2.1566 	  
2.15 	 2.1635 	  2.1613 	  
2.25 	 2.1677 	  2.1657 	  
2.35 	 2.1718 	  2.1699 	  
2.45 	 2.1755 	  2.1739 	  
2.55 	 2.179 	  2.1776 	  
2.65 	 2.1823 	  2.181 	  
2.75 	 2.1853 	  2.1842 	  
2.85 	 2.188 	  2.1871 	  
2.95 	 2.1904 	  2.1897 	  
3.05 	 2.1926 	  2.192 	  
3.15 	 2.1945 	  2.194 	  
3.25 	 2.1961 	  2.1957 	  
3.35 	 2.1974 	  2.1972 	  
3.45 	 2.1985 	  2.1983 	  
3.55 	 2.1992 	  2.1992 	  
3.65 	 2.1996 	  2.1997 	  
3.75 	 2.1998 	  2.2 	  
3.85 	 2.1996 	  2.1999 	  
3.95 	 2.1992 	  2.1996 	  
4.05 	 2.1985 	  2.1989 	  
4.15 	 2.1975 	  2.198 	  
4.25 	 2.1962 	  2.1968 	  
4.35 	 2.1946 	  2.1952 	  
4.45 	 2.1927 	  2.1934 	  
4.55 	 2.1905 	  2.1913 	  
4.65 	 2.1881 	  2.1889 	  
4.75 	 2.1853 	  2.1862 	  
4.85 	 2.1823 	  2.1832 	  
4.95 	 2.179 	  2.18 	  
5.05 	 2.1755 	  2.1765 	  
5.15 	 2.1717 	  2.1727 	  
5.25 	 2.1676 	  2.1686 	  
5.35 	 2.1632 	  2.1644 	  
5.45 	 2.1586 	  2.1598 	  
5.55 	 2.1538 	  2.155 	  
5.65 	 2.1487 	  2.15 	  
5.75 	 2.1435 	  2.1448 	  
5.85 	 2.1379 	  2.1394 	  
5.95 	 2.1322 	  2.1337 	  
6.05 	 2.1262 	  2.1278 	  
6.15 	 2.1201 	  2.1218 	  
6.25 	 2.1137 	  2.1156 	  
6.35 	 2.1072 	  2.1091 	  
6.45 	 2.1005 	  2.1026 	  
6.55 	 2.0936 	  2.0959 	  
6.65 	 2.0865 	  2.089 	  
6.75 	 2.0793 	  2.082 	  
6.85 	 2.072 	  2.0749 	  
6.95 	 2.0645 	  2.0676 	  
7.05 	 2.0569 	  2.0603 	  
7.15 	 2.0492 	  2.0529 	  
7.25 	 2.0414 	  2.0454 	  
7.35 	 2.0335 	  2.0378 	  
7.45 	 2.0256 	  2.0301 	  
7.55 	 2.0176 	  2.0225 	  
7.65 	 2.0096 	  2.0148 	  
7.75 	 2.0015 	  2.007 	  
7.85 	 1.9934 	  1.9993 	  
7.95 	 1.9853 	  1.9915 	  
8.05 	 1.9772 	  1.9838 	  
8.15 	 1.9691 	  1.9761 	  
8.25 	 1.9611 	  1.9684 	  
8.35 	 1.9532 	  1.9608 	  
8.45 	 1.9453 	  1.9533 	  
8.55 	 1.9375 	  1.9458 	  
8.65 	 1.9298 	  1.9383 	  
8.75 	 1.9223 	  1.931 	  
8.85 	 1.9148 	  1.9238 	  
8.95 	 1.9076 	  1.9167 	  
9.05 	 1.9005 	  1.9097 	  
9.15 	 1.8936 	  1.9029 	  
9.25 	 1.8869 	  1.8962 	  
9.35 	 1.8803 	  1.8897 	  
9.45 	 1.874 	  1.8833 	  
9.55 	 1.8679 	  1.8771 	  
9.65 	 1.862 	  1.8711 	  
9.75 	 1.8563 	  1.8652 	  
9.85 	 1.8509 	  1.8596 	  
9.95 	 1.8458 	  1.8542 	  
10.05 	 1.8409 	  1.849 	  
10.15 	 1.8364 	  1.8441 	  
10.25 	 1.8321 	  1.8393 	  
10.35 	 1.8281 	  1.8348 	  
10.45 	 1.8244 	  1.8306 	  
10.55 	 1.8209 	  1.8266 	  
10.65 	 1.8178 	  1.8229 	  
10.75 	 1.815 	  1.8194 	  
10.85 	 1.8125 	  1.8162 	  
10.95 	 1.8103 	  1.8133 	  
11.05 	 1.8084 	  1.8107 	  
11.15 	 1.8069 	  1.8083 	  
11.25 	 1.8057 	  1.8062 	  
11.35 	 1.8048 	  1.8045 	  
11.45 	 1.8042 	  1.803 	  
11.55 	 1.8039 	  1.8018 	  
11.65 	 1.804 	  1.8009 	  
11.75 	 1.8044 	  1.8003 	  
11.85 	 1.805 	  1.8 	  
11.95 	 1.806 	  1.8 	  
12.05 	 1.8073 	  1.8003 	  
12.15 	 1.8088 	  1.801 	  
12.25 	 1.8107 	  1.8019 	  
12.35 	 1.8129 	  1.8031 	  
12.45 	 1.8154 	  1.8046 	  
12.55 	 1.8182 	  1.8064 	  
12.65 	 1.8212 	  1.8084 	  
12.75 	 1.8245 	  1.8108 	  
12.85 	 1.828 	  1.8135 	  
12.95 	 1.8318 	  1.8164 	  
13.05 	 1.8358 	  1.8196 	  
13.15 	 1.8399 	  1.8231 	  
13.25 	 1.8443 	  1.8268 	  
13.35 	 1.8489 	  1.8308 	  
13.45 	 1.8536 	  1.8351 	  
13.55 	 1.8586 	  1.8396 	  
13.65 	 1.8636 	  1.8443 	  
13.75 	 1.8688 	  1.8493 	  
13.85 	 1.8742 	  1.8545 	  
13.95 	 1.8796 	  1.8599 	  
14.05 	 1.8852 	  1.8656 	  
14.15 	 1.8908 	  1.8714 	  
14.25 	 1.8965 	  1.8774 	  
14.35 	 1.9023 	  1.8836 	  
14.45 	 1.9081 	  1.89 	  
14.55 	 1.9139 	  1.8966 	  
14.65 	 1.9197 	  1.9033 	  
14.75 	 1.9255 	  1.9101 	  
14.85 	 1.9312 	  1.9171 	  
14.95 	 1.9369 	  1.9242 	  
15.05 	 1.9426 	  1.9314 	  
15.15 	 1.9483 	  1.9388 	  
15.25 	 1.9539 	  1.9462 	  
15.35 	 1.9597 	  1.9537 	  
15.45 	 1.9655 	  1.9612 	  
